l1,l2,l3
3692,Araucaria,AF
3693,Serra_do_Mar,AF
3694,Serra_do_Mar,AF
3695,Araucaria,AF
3697,Araucaria,AF
3698,Araucaria,AF
3699,Araucaria,AF
3700,Araucaria,AF
3701,Araucaria,AF
3702,Serra_do_Mar,AF
3703,Serra_do_Mar,AF
3704,Restingas,AF
3789,Alto_Parana,AF
3790,Alto_Parana,AF
3792,Alto_Parana,AF
3793,Alto_Parana,AF
3794,Alto_Parana,AF
3805,Araucaria,AF
3806,Araucaria,AF
3811,Araucaria,AF
3812,Araucaria,AF
3814,Araucaria,AF
3815,Araucaria,AF
3816,Serra_do_Mar,AF
3817,Serra_do_Mar,AF
3819,Serra_do_Mar,AF
3820,Araucaria,AF
3821,Araucaria,AF
3822,Araucaria,AF
3823,Araucaria,AF
3824,Serra_do_Mar,AF
3825,Serra_do_Mar,AF
3826,Restingas,AF
3827,Restingas,AF
3905,Alto_Parana,AF
3913,Alto_Parana,AF
3915,Alto_Parana,AF
3916,Alto_Parana,AF
3917,Alto_Parana,AF
3918,Alto_Parana,AF
3926,Alto_Parana,AF
3927,Alto_Parana,AF
3929,Araucaria,AF
3930,Araucaria,AF
3931,Araucaria,AF
3934,Araucaria,AF
3935,Araucaria,AF
3936,Araucaria,AF
3938,Araucaria,AF
3939,Araucaria,AF
3940,Serra_do_Mar,AF
3941,Serra_do_Mar,AF
3942,Serra_do_Mar,AF
3943,Serra_do_Mar,AF
3944,Araucaria,AF
3945,Araucaria,AF
3946,Araucaria,AF
3947,Serra_do_Mar,AF
3948,Serra_do_Mar,AF
3949,Restingas,AF
4036,Alto_Parana,AF
4038,Alto_Parana,AF
4039,Alto_Parana,AF
4041,Alto_Parana,AF
4043,Alto_Parana,AF
4046,Alto_Parana,AF
4054,Araucaria,AF
4057,Araucaria,AF
4058,Araucaria,AF
4059,Araucaria,AF
4060,Araucaria,AF
4061,Araucaria,AF
4062,Serra_do_Mar,AF
4063,Serra_do_Mar,AF
4064,Serra_do_Mar,AF
4065,Serra_do_Mar,AF
4066,Serra_do_Mar,AF
4067,Araucaria,AF
4068,Araucaria,AF
4069,Araucaria,AF
4070,Serra_do_Mar,AF
4071,Serra_do_Mar,AF
4073,Restingas,AF
4163,Alto_Parana,AF
4168,Alto_Parana,AF
4177,Alto_Parana,AF
4179,Araucaria,AF
4180,Serra_do_Mar,AF
4181,Araucaria,AF
4182,Araucaria,AF
4183,Araucaria,AF
4184,Serra_do_Mar,AF
4185,Serra_do_Mar,AF
4186,Serra_do_Mar,AF
4188,Serra_do_Mar,AF
4189,Serra_do_Mar,AF
4190,Serra_do_Mar,AF
4191,Serra_do_Mar,AF
4192,Araucaria,AF
4193,Serra_do_Mar,AF
4194,Serra_do_Mar,AF
4196,Serra_do_Mar,AF
4277,Alto_Parana,AF
4290,Alto_Parana,AF
4294,Alto_Parana,AF
4302,Araucaria,AF
4303,Araucaria,AF
4304,Serra_do_Mar,AF
4305,Araucaria,AF
4306,Serra_do_Mar,AF
4307,Serra_do_Mar,AF
4308,Serra_do_Mar,AF
4309,Serra_do_Mar,AF
4310,Mangroves,AF
4313,Serra_do_Mar,AF
4314,Serra_do_Mar,AF
4315,Serra_do_Mar,AF
4316,Serra_do_Mar,AF
4317,Serra_do_Mar,AF
4318,Serra_do_Mar,AF
4414,Alto_Parana,AF
4421,Alto_Parana,AF
4422,Alto_Parana,AF
4425,Alto_Parana,AF
4426,Araucaria,AF
4428,Serra_do_Mar,AF
4429,Serra_do_Mar,AF
4430,Serra_do_Mar,AF
4431,Mangroves,AF
4432,Serra_do_Mar,AF
4439,Mangroves,AF
4440,Mangroves,AF
4528,Alto_Parana,AF
4529,Alto_Parana,AF
4550,Serra_do_Mar,AF
4551,Serra_do_Mar,AF
4552,Serra_do_Mar,AF
4553,Serra_do_Mar,AF
4554,Serra_do_Mar,AF
4652,Alto_Parana,AF
4673,Alto_Parana,AF
4674,Serra_do_Mar,AF
4675,Serra_do_Mar,AF
4676,Serra_do_Mar,AF
4677,Mangroves,AF
4790,Alto_Parana,AF
4791,Alto_Parana,AF
4794,Alto_Parana,AF
4797,Serra_do_Mar,AF
4798,Serra_do_Mar,AF
4911,Alto_Parana,AF
4912,Alto_Parana,AF
4913,Alto_Parana,AF
4915,Alto_Parana,AF
4921,Serra_do_Mar,AF
4922,Serra_do_Mar,AF
4924,Mangroves,AF
5034,Alto_Parana,AF
5041,Alto_Parana,AF
5045,Serra_do_Mar,AF
5047,Mangroves,AF
5157,Alto_Parana,AF
5163,Alto_Parana,AF
5165,Serra_do_Mar,AF
5166,Serra_do_Mar,AF
