l1,l2,l3
2312,Alto_Parana,AF
2313,Alto_Parana,AF
2314,Alto_Parana,AF
2316,Alto_Parana,AF
2317,Araucaria,AF
2318,Araucaria,AF
2319,Araucaria,AF
2320,Alto_Parana,AF
2321,Araucaria,AF
2324,Araucaria,AF
2325,Araucaria,AF
2326,Araucaria,AF
2327,Araucaria,AF
2328,Araucaria,AF
2329,Araucaria,AF
2330,Alto_Parana,AF
2331,Alto_Parana,AF
2332,Araucaria,AF
2334,Araucaria,AF
2335,Araucaria,AF
2336,Araucaria,AF
2337,Alto_Parana,AF
2338,Alto_Parana,AF
2339,Alto_Parana,AF
2340,Alto_Parana,AF
2341,Alto_Parana,AF
2352,Restingas,AF
2434,Alto_Parana,AF
2435,Alto_Parana,AF
2436,Alto_Parana,AF
2438,Alto_Parana,AF
2439,Alto_Parana,AF
2440,Alto_Parana,AF
2441,Araucaria,AF
2442,Araucaria,AF
2443,Araucaria,AF
2444,Araucaria,AF
2445,Alto_Parana,AF
2446,Araucaria,AF
2447,Araucaria,AF
2449,Araucaria,AF
2450,Araucaria,AF
2451,Araucaria,AF
2452,Araucaria,AF
2453,Araucaria,AF
2454,Alto_Parana,AF
2455,Araucaria,AF
2456,Araucaria,AF
2458,Araucaria,AF
2459,Araucaria,AF
2460,Alto_Parana,AF
2461,Alto_Parana,AF
2462,Alto_Parana,AF
2464,Alto_Parana,AF
2465,Alto_Parana,AF
2466,Alto_Parana,AF
2474,Restingas,AF
2475,Restingas,AF
2556,Alto_Parana,AF
2557,Alto_Parana,AF
2559,Alto_Parana,AF
2561,Alto_Parana,AF
2562,Alto_Parana,AF
2563,Alto_Parana,AF
2565,Araucaria,AF
2566,Araucaria,AF
2567,Araucaria,AF
2568,Araucaria,AF
2570,Araucaria,AF
2571,Araucaria,AF
2572,Araucaria,AF
2573,Araucaria,AF
2575,Araucaria,AF
2576,Araucaria,AF
2577,Araucaria,AF
2578,Alto_Parana,AF
2579,Araucaria,AF
2580,Araucaria,AF
2581,Araucaria,AF
2582,Araucaria,AF
2583,Araucaria,AF
2585,Araucaria,AF
2586,Alto_Parana,AF
2587,Alto_Parana,AF
2588,Alto_Parana,AF
2590,Alto_Parana,AF
2597,Restingas,AF
2598,Restingas,AF
2678,Alto_Parana,AF
2679,Alto_Parana,AF
2682,Alto_Parana,AF
2683,Alto_Parana,AF
2685,Alto_Parana,AF
2686,Alto_Parana,AF
2687,Alto_Parana,AF
2689,Alto_Parana,AF
2690,Araucaria,AF
2691,Araucaria,AF
2692,Araucaria,AF
2693,Araucaria,AF
2694,Araucaria,AF
2695,Araucaria,AF
2696,Araucaria,AF
2697,Araucaria,AF
2698,Araucaria,AF
2699,Araucaria,AF
2700,Araucaria,AF
2701,Araucaria,AF
2702,Araucaria,AF
2703,Araucaria,AF
2704,Araucaria,AF
2705,Araucaria,AF
2706,Araucaria,AF
2707,Araucaria,AF
2708,Araucaria,AF
2709,Araucaria,AF
2710,Alto_Parana,AF
2711,Alto_Parana,AF
2712,Alto_Parana,AF
2800,Alto_Parana,AF
2801,Alto_Parana,AF
2805,Alto_Parana,AF
2807,Alto_Parana,AF
2808,Alto_Parana,AF
2810,Alto_Parana,AF
2811,Alto_Parana,AF
2812,Alto_Parana,AF
2813,Alto_Parana,AF
2814,Alto_Parana,AF
2816,Araucaria,AF
2817,Araucaria,AF
2819,Araucaria,AF
2820,Araucaria,AF
2821,Araucaria,AF
2822,Araucaria,AF
2823,Araucaria,AF
2824,Araucaria,AF
2825,Araucaria,AF
2826,Araucaria,AF
2827,Araucaria,AF
2828,Araucaria,AF
2830,Araucaria,AF
2831,Araucaria,AF
2832,Araucaria,AF
2833,Alto_Parana,AF
2834,Alto_Parana,AF
2835,Alto_Parana,AF
2836,Alto_Parana,AF
2837,Alto_Parana,AF
2923,Alto_Parana,AF
2924,Alto_Parana,AF
2925,Alto_Parana,AF
2929,Alto_Parana,AF
2935,Alto_Parana,AF
2936,Alto_Parana,AF
2937,Araucaria,AF
2940,Araucaria,AF
2941,Araucaria,AF
2942,Araucaria,AF
2943,Araucaria,AF
2944,Araucaria,AF
2945,Araucaria,AF
2946,Araucaria,AF
2947,Araucaria,AF
2948,Araucaria,AF
2949,Araucaria,AF
2950,Araucaria,AF
2951,Araucaria,AF
2952,Araucaria,AF
2953,Araucaria,AF
2954,Araucaria,AF
2955,Araucaria,AF
2956,Araucaria,AF
2957,Alto_Parana,AF
2958,Araucaria,AF
2959,Alto_Parana,AF
2960,Alto_Parana,AF
3039,Alto_Parana,AF
3044,Alto_Parana,AF
3045,Alto_Parana,AF
3048,Alto_Parana,AF
3049,Alto_Parana,AF
3055,Alto_Parana,AF
3058,Alto_Parana,AF
3059,Alto_Parana,AF
3060,Araucaria,AF
3061,Araucaria,AF
3062,Araucaria,AF
3063,Araucaria,AF
3064,Araucaria,AF
3065,Araucaria,AF
